name,ra,dec,trigger_time,t90,fluence,trigger_name
GRB130617564,74.73,-60.06,56460.56447,0.768,2.4091E-07,bn130617564
GRB160912350,183.29,-60.04,57643.35012,32.705,4.0972E-06,bn160912350
GRB150827785,68.3,-60,57261.78487,10.496,1.6786E-06,bn150827785
GRB210727410,189.231,-59.926,59422.41026,1.088,1.9552E-06,bn210727410
GRB180505540,4.51,-59.89,58243.5397,21.760,0.000020133,bn180505540
GRB200901158,61.758,-59.88,59093.15796,10.176,4.5091E-06,bn200901158
GRB200617679,359.11,-59.83,59017.67923,1.216,2.0464E-07,bn200617679
GRB190119249,192.24,-59.82,58502.24935,34.304,1.0101E-06,bn190119249
GRB210712405,97.3318,-35.3717,59407.40499,7.168,1.1935E-06,bn210712405
GRB171112868,20.467,-59.678,58069.86825,302.789,0.000014304,bn171112868
GRB200126466,59.47,-59.62,58874.46588,0.768,1.283E-07,bn200126466
GRB230709902,218.44,-59.61,60134.90238,3.840,9.2858E-07,bn230709902
GRB120909070,275.74,-59.45,56179.0704,112.066,0.000009848,bn120909070
