name,ra,dec,trigger_time,t90,fluence,trigger_name,log_t90,log_fluence,cluster_t90,cluster_fluence,cluster_both
GRB081118876,54.6,-43.3,54788.87562,20.736,4.9389e-06,bn081118876,1.3167250051344843,-5.306360973838451,0,0,0
GRB090320045,108.3,-43.3,54910.04526,2.368,4.447e-07,bn090320045,0.3743818814522294,-6.351835221425999,1,1,1
GRB090623107,309.0,-43.24,55005.10715,47.105,1.1845e-05,bn090623107,1.6730670173498607,-4.926461268477318,0,0,0
GRB230304624,210.84,-43.21,60007.62442,28.416,1.3662e-05,bn230304624,1.4535629593819557,-4.864482540162885,0,0,0
GRB190323303,142.07,2.84,58565.30338,30.465,1.1369e-05,bn190323303,1.4838011967160099,-4.9442739135448175,0,0,0
GRB111103948,201.58,-43.16,55868.94798,0.32,2.8185e-07,bn111103948,-0.4948486645119587,-6.549827901075628,1,1,1
GRB210228058,283.48,-43.13,59273.05757,3.776,5.3379e-07,bn210228058,0.5770321006404446,-6.272548213597029,1,1,1
GRB191221802,40.83,-43.04,58838.80172,2.24,4.6276e-07,bn191221802,0.3502482122155847,-6.3345503489857835,1,1,1
GRB230116374,115.533,-43.027,59960.37438,0.064,2.9539e-06,bn230116374,-1.193813240217847,-5.52958950902407,1,0,1
GRB090620901,241.38,-43.02,55002.90111,0.96,4.3097e-07,bn090620901,-0.017728314570581893,-6.365452200499887,1,1,1
GRB190905985,234.48,3.12,58731.98505,0.704,5.5119e-07,bn190905985,-0.15242672396275506,-6.258619885235601,1,1,1
GRB090227310,3.3,-43.0,54889.30969,16.189,2.856e-06,bn090227310,1.209220049891509,-5.544226590772653,0,0,0
GRB141011467,259.38,-43.0,56941.46723,12.029,2.8852e-06,bn141011467,1.0802295609888213,-5.539809024251421,0,0,0
GRB200228291,333.893,-42.9443,58907.29067,3.584,6.9265e-06,bn200228291,0.5543681221659864,-5.15947989144626,1,0,0
GRB200205845,223.21,-42.78,58884.84541,17.408,6.3807e-07,bn200205845,1.2407489029660679,-6.195063615593294,0,1,1
GRB221206464,244.15,-42.74,59919.46351,15.872,2.8251e-06,bn221206464,1.2006316821724061,-5.548950802420871,0,0,0
GRB230725439,207.23,4.92,60150.43948,0.576,3.0866e-07,bn230725439,-0.23957676259396693,-6.510378967742029,1,1,1
GRB150324164,180.81,-42.72,57105.16402,4.608,4.8485e-06,bn150324164,0.6635125646630798,-5.3143836428505,1,0,0
GRB240807920,297.35,-42.71,60529.9196,0.832,8.7474e-07,bn240807920,-0.07987615172102978,-6.058071368087386,1,1,1
GRB151210041,293.97,-42.7,57366.04116,37.633,3.4533e-06,bn151210041,1.5755688520103515,-5.461753115328017,0,0,0
GRB230712868,351.15,-42.61,60137.86802,16.896,2.2815e-06,bn230712868,1.2277839265576997,-5.6417604918282285,0,1,0
GRB200924235,319.44,6.48,59116.23506,58.113,1.8874e-06,bn200924235,1.7642733033184401,-5.724113039698774,0,1,0
GRB220702569,160.01,6.5,59762.56916,3.84,3.4616e-07,bn220702569,0.5843313374650374,-6.460597675307693,1,1,1
GRB200722094,188.19,6.5,59052.0937,64.769,1.2033e-05,bn200722094,1.8113671985278266,-4.919622474118293,0,0,0
